Smart TV<<<<<
null<'{''Power ON/OFF'', ''Change device settings'', ''Add/modify users''}'<'{''Add TV apps'', ''Power ON/OFF'', ''Change device settings'', ''Make video calls'', ''Add restrictions(device based and content based)'', ''Order online'', ''Add/modify users'', ''Modify preferences''}'<'{''Add TV apps'', ''Cast other device'', ''Power ON/OFF'', ''Change device settings'', ''Make video calls'', ''View shopping cart'', ''Add restrictions(device based and content based)'', ''Order online'', ''Add/modify users'', ''Add items to shopping cart'', ''View preferences/history'', ''Modify preferences''}'<'{''Add TV apps'', ''Cast other device'', ''Power ON/OFF'', ''Change device settings'', ''Watch sensitive content'', ''Make video calls'', ''View shopping cart'', ''Add restrictions(device based and content based)'', ''Order online'', ''Add/modify users'', ''View preferences/history'', ''Modify preferences''}'<'{''Add/modify users'', ''Add TV apps'', ''Cast other device'', ''Power ON/OFF'', ''Watch sensitive content'', ''Make video calls'', ''Add restrictions(device based and content based)'', ''Order online'', ''View shopping cart'', ''Change device settings'', ''Add items to shopping cart'', ''View preferences/history'', ''Modify preferences''}'
<<<<<
null<null<'{''Order online'', ''Add restrictions(device based and content based)'', ''Add TV apps'', ''Make video calls'', ''Modify preferences''}'<'{''Add TV apps'', ''Cast other device'', ''Make video calls'', ''View shopping cart'', ''Add restrictions(device based and content based)'', ''Order online'', ''Add items to shopping cart'', ''View preferences/history'', ''Modify preferences''}'<'{''Add TV apps'', ''Cast other device'', ''Watch sensitive content'', ''Make video calls'', ''View shopping cart'', ''Add restrictions(device based and content based)'', ''Order online'', ''View preferences/history'', ''Modify preferences''}'<'{''Add TV apps'', ''Cast other device'', ''Watch sensitive content'', ''Make video calls'', ''Add restrictions(device based and content based)'', ''Order online'', ''View shopping cart'', ''Add items to shopping cart'', ''View preferences/history'', ''Modify preferences''}'
<<<<<
null<null<null<'{''Cast other device'', ''View shopping cart'', ''View preferences/history'', ''Add items to shopping cart''}'<'{''View shopping cart'', ''Cast other device'', ''Watch sensitive content'', ''View preferences/history''}'<'{''View shopping cart'', ''Cast other device'', ''Watch sensitive content'', ''View preferences/history'', ''Add items to shopping cart''}'
<<<<<
null<null<null<null<'{''Watch sensitive content''}'<'{''Watch sensitive content''}'
<<<<<
null<null<null<'{''Add items to shopping cart''}'<null<'{''Add items to shopping cart''}'
<<<<<
null<null<null<null<null<null
<<<<<
<<<<<
<<<<<
Smart Fridge<<<<<
null<'{''change settings'', ''Power ON/OFF'', ''Sync/add other accounts''}'<'{''Power ON/OFF'', ''View device condition'', ''change settings'', ''Sync/add other accounts'', ''Order online'', ''Modify preferences''}'<'{''View preferences'', ''Modify family board'', ''Power ON/OFF'', ''View inside fridge'', ''Stream music'', ''View device condition'', ''change settings'', ''Sync/add other accounts'', ''View history'', ''Order online'', ''Add items to shopping cart'', ''Modify preferences''}'<'{''View preferences'', ''Power ON/OFF'', ''View inside fridge'', ''View device condition'', ''change settings'', ''Sync/add other accounts'', ''View history'', ''Order online'', ''Modify preferences''}'<'{''View preferences'', ''Modify family board'', ''Power ON/OFF'', ''View inside fridge'', ''Stream music'', ''View device condition'', ''change settings'', ''Sync/add other accounts'', ''View history'', ''Order online'', ''Add items to shopping cart'', ''Modify preferences''}'
<<<<<
null<null<'{''View device condition'', ''Order online'', ''Modify preferences''}'<'{''View preferences'', ''Modify family board'', ''View inside fridge'', ''Stream music'', ''View device condition'', ''View history'', ''Order online'', ''Add items to shopping cart'', ''Modify preferences''}'<'{''View preferences'', ''View inside fridge'', ''View device condition'', ''View history'', ''Order online'', ''Modify preferences''}'<'{''View preferences'', ''Modify family board'', ''View inside fridge'', ''Stream music'', ''View device condition'', ''View history'', ''Order online'', ''Add items to shopping cart'', ''Modify preferences''}'
<<<<<
null<null<null<'{''View preferences'', ''Modify family board'', ''View inside fridge'', ''Stream music'', ''View history'', ''Add items to shopping cart''}'<'{''View history'', ''View inside fridge'', ''View preferences''}'<'{''View preferences'', ''Modify family board'', ''View inside fridge'', ''Stream music'', ''View history'', ''Add items to shopping cart''}'
<<<<<
null<null<null<null<null<null
<<<<<
null<null<null<'{''Modify family board'', ''Stream music'', ''Add items to shopping cart''}'<null<'{''Modify family board'', ''Stream music'', ''Add items to shopping cart''}'
<<<<<
null<null<null<null<null<null
